label,message
ham,"Hola Juan, te envío el informe actualizado del proyecto."
ham,"Tu cita médica está confirmada para mañana a las 10:30."
ham,"Recordatorio: la entrega de tareas vence hoy a las 11:59 PM."
ham,"Gracias por tu compra. Tu pedido será entregado pronto."
ham,"Nos vemos a las 7, ¿quieres que te pase a recoger?"
spam,"¡Felicidades! Has ganado un iPhone 15. Reclámalo aquí."
spam,"Su cuenta bancaria ha sido bloqueada, verifique datos aquí."
spam,"Obtén préstamos inmediatos sin revisión de crédito."
spam,"URGENTE: su envío fue retenido. Complete su información."
spam,"Transfiere $500 y recibe $5000 mañana. Garantizado."
